abbr,Divorce_ratio,year
AK         ,0.405405405,2008
AL        ,0.619433198,2008
AR       ,0.492537313,2008
AZ        ,0.560465116,2008
CA     ,0.478712772,2008
CO       ,0.507537688,2008
CT    ,0.559701493,2008
DC      ,0.5,2008
DE       ,0.686868687,2008
FL        ,0.57902566,2008
GA        ,0.561095506,2008
HI         ,0.392670157,2008
IA,0.44345898,2008
ID          ,0.446969697,2008
IL       ,0.527622595,2008
IN        ,0.60042061,2008
KS         ,0.524137931,2008
KY       ,0.615050651,2008
LA      ,0.521126761,2008
MA  ,0.552,2008
MD       ,0.495705521,2008
ME          ,0.837037037,2008
MI       ,0.535657686,2008
MN      ,0.455307263,2008
MO       ,0.549311927,2008
MS    ,0.634615385,2008
MT        ,0.533333333,2008
NC ,0.441235729,2008
ND   ,0.313559322,2008
NE       ,0.498168498,2008
NH  ,0.534161491,2008
NJ     ,0.468224299,2008
NM     ,0.470383275,2008
NV         ,0.527149321,2008
NY       ,0.452969224,2008
OH,0.597446237,2008
OK       ,0.615008157,2008
OR         ,0.528169014,2008
PA   ,0.515309446,2008
RI   ,0.531746032,2008
SC ,0.564766839,2008
SD   ,0.455445545,2008
TN      ,0.578680203,2008
TX          ,0.512049754,2008
UT,0.436708861,2008
VA       ,0.496069182,2008
VT        ,0.803030303,2008
WA     ,0.578076525,2008
WI      ,0.47459893,2008
WV  ,0.581749049,2008
WY        ,0.549450549,2008
